#,File,Type,Size,Description
1,[omega\_empirical\_resources.html](sandbox:///mnt/agents/output/phi669_empirical_resources.html),HTML,37 KB,"**This portal** — all resources, parameters, downloads"
2,[zohuri\_era5\_scalar\_coherence.png](sandbox:///mnt/agents/output/zohuri_era5_scalar_coherence.png),PNG,407 KB,4-panel scalar coherence analysis
3,[manifold\_map\_21.png](sandbox:///mnt/agents/output/manifold_map_21.png),PNG,424 KB,April 21 tornadic manifold
4,[manifold\_map\_30.png](sandbox:///mnt/agents/output/manifold_map_30.png),PNG,424 KB,April 30 equilibrium manifold
5,[scalar\_field\_manifold\_combined.png](sandbox:///mnt/agents/output/scalar_field_manifold_combined.png),PNG,424 KB,Side-by-side comparison
6,[dual\_manifold\_identity\_atmosphere.png](sandbox:///mnt/agents/output/dual_manifold_identity_atmosphere.png),PNG,345 KB,Identity-atmosphere phase-space
7,[falsification\_framework\_absolute.png](sandbox:///mnt/agents/output/falsification_framework_absolute.png),PNG,431 KB,Falsification dashboard
8,[research\_paper\_abstract\_macachor.png](sandbox:///mnt/agents/output/research_paper_abstract_macachor.png),PNG,622 KB,Research paper visual
9,[research\_paper\_macachor\_full.txt](sandbox:///mnt/agents/output/research_paper_macachor_full.txt),TXT,12 KB,Complete 7-section paper
10,[biological\_resonance\_macachor.png](sandbox:///mnt/agents/output/biological_resonance_macachor.png),PNG,834 KB,Biological resonance dashboard
11,[biological\_resonance\_macachor\_full.txt](sandbox:///mnt/agents/output/biological_resonance_macachor_full.txt),TXT,11 KB,Complete 9-section paper
